value,weight
"blacksmith",8
"carpenter",7
"tailor",7
"baker",7
"farmer",9
"butcher",6
"innkeeper",6
"minstrel",5
"apothecary",6
"barber",5
"chandler",5
"fletcher",5
"tavernkeeper",6
"grocer",5
"potter",5
"cobbler",6
"jeweler",5
"tanner",5
"weaver",6
"cooper",5
"miner",6
"guard",6
"alchemist",5
"cartographer",5
"fisher",6
"sailor",5
"thief",5
"town crier",4
"herbalist",5
"potion maker",5
"tax collector",4
"jester",4
"painter",5
"tavern wench",5
"squire",5
"armorer",5
"herald",4
"swordsmith",5
"witch",4
"monk",5
"sorcerer",4
"candlemaker",4
"struggling merchant",5
"jailor",4
"street performer",5
"cattle rustler",4
"tavern cook",5
"brewer",6
"horse trainer",5
"shipwright",5
"thatcher",4
"wealthy merchant",4
"rat catcher",4
"street sweeper",4
"fortune teller",4
"street urchin",5
"locksmith",4
"sculptor",4
"taxidermist",4
"puppeteer",4
"glassblower",4
"astrologer",4
"bard",5
"bookbinder",4
"ship captain",5
"falconer",4
"town guard captain",4
"priest",5
"seamstress",7
"saddle maker",5
"woodcarver",5
"beggar",4
"inquisitor",4
"tavern bouncer",5
"town magistrate",4
"caterer",5
"silversmith",4
"animal trainer",4
"beekeeper",5
"clockmaker",4
"scribe",5
"gravedigger",4
"ranger",5
"goldsmith",5
"town guard",4
"cleric",5
"sellsword",3
